file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T963  T700 1st 13            : 10  1324.0  1390.2  1275.50  0.40%   15.64   7.60
T964  T700 1st 14            : 10  1402.9  1484.8  1374.80  0.47%   16.86   8.19
T965  T700 1st 15            : 10  1529.2  1607.7  1484.03  2.54%   18.20   8.84
T966  T700 1st 16            : 10  1618.2  1699.1  1577.07  2.78%   19.34   9.40
T967  T700 1st 17            : 10  1729.4  1786.3  1688.32  2.13%   20.70  10.06
T968  T700 1st 18            : 10  1820.4  1911.5  1784.40  1.54%   21.88  10.63
T969  T700 1st 19            : 10  1945.6  2002.5  1912.40  2.19%   23.45  11.40
T970  T700 1st 20            : 10  2036.6  2099.2  1989.91  1.65%   24.40  11.86
T971  T700 1st 21            : 10  2080.5  2184.5  2100.54  0.22%   25.76  12.52
T972  T700 1st 22            : 10  2223.5  2288.6  2175.31  2.52%   26.67  12.96
T973  T700 1st 23            : 10  2288.6  2399.1  2278.52  2.07%   27.94  13.58
T974  T700 1st 24            : 10  2594.1  2679.5  2551.45  2.16%   31.28  15.20
T975  T700 1st 25            : 10  2670.0  2781.9  2633.94  0.56%   32.30  15.70
T976  T700 1st 26            : 10  2776.2  2897.5  2755.30  1.20%   33.78  16.42
T977  T700 1st 27            : 10  2897.5  3003.7  2876.67  2.12%   35.27  17.14
T978  T700 1st 28            : 10  2943.1  3064.4  2922.18  0.80%   35.83  17.41
T979  T700 1st 29            : 10  3058.3  3204.0  3049.61  0.07%   37.39  18.17
T980  T700 1st 30            : 10  3185.8  3276.8  3122.43  1.56%   38.29  18.61
