s370_perf_ana  -raw

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
T553  HDR R,R                : 92   13000  50 10     395.23  0.77%
T560  AXR R,R                : 92    4000  50  1    1289.90  0.76%
T561  MXR R,R                : 92    3300  50 11    1511.52  0.75%
T600  STCK m                 : 92    1000  10  1     661.90  0.13%
T601  SPM R                  : 92   19000 100  1     286.45  0.73%
T610  EX R,i (with TM)       : 92    3500  50  1    1535.53  0.72%
T611  EX R,i (with XI)       : 92    3500  50  1    1538.28  0.71%
T620  MVI;TS m (zero)        : 92    2300  50  1    2130.38  0.77%
T621  MVI;TS m (ones)        : 92     500  50  1    9136.92  0.93%
T700  mix int RR basic       : 92   20000  40  1     231.36  0.98%
T701  mix int RX             : 92   22000  21  1     230.01  0.73%
T702  mix int RX (far)       : 92   22000  21  1     230.02  0.78%
T703  mix int RR noopt       : 92   20000  40  1     250.28  0.74%
T900  LR R,R (ig=1)          : 92  450000   1  1       8.74  0.91%
T901  LR R,R (ig=2)          : 92  400000   2  1      10.82  0.93%
T902  LR R,R (ig=3)          : 92  400000   3  1      12.91  0.81%
T903  LR R,R (ig=4)          : 92  200000   4  1      30.27  0.77%
T904  LR R,R (ig=5)          : 92  150000   5  1      32.36  1.02%
T905  LR R,R (ig=6)          : 92  150000   6  1      34.40  0.70%
T906  LR R,R (ig=7)          : 92  150000   7  1      36.04  0.77%
T907  LR R,R (ig=8)          : 92  150000   8  1      38.32  0.80%
T908  LR R,R (ig=9)          : 92  150000   9  1      39.99  0.75%
T909  LR R,R (ig=10)         : 92  150000  10  1      42.58  0.80%
T910  LR R,R (ig=12)         : 92  120000  12  1      45.87  0.81%
T911  LR R,R (ig=18)         : 92   90000  18  1      57.20  0.76%
T912  LR R,R (ig=25)         : 92   70000  25  1      70.47  0.76%
T913  LR R,R (ig=36)         : 92   50000  36  1      92.00  0.82%
T914  LR R,R (ig=50)         : 92   45000  50  1     119.15  0.80%
T915  LR R,R (ig=72)         : 92   30000  72  1     161.78  0.76%
T920  L R,m (ig=1)           : 92  300000   1  1      13.13  0.94%
T921  L R,m (ig=2)           : 92  250000   2  1      20.83  0.93%
T922  L R,m (ig=3)           : 92  200000   3  1      28.71  0.86%
T923  L R,m (ig=4)           : 92  100000   4  1      48.30  1.04%
T924  L R,m (ig=5)           : 92  100000   5  1      55.31  0.80%
T925  L R,m (ig=6)           : 92   80000   6  1      61.99  0.92%
T926  L R,m (ig=7)           : 92   70000   7  1      69.38  0.95%
T927  L R,m (ig=8)           : 92   70000   8  1      76.22  0.92%
T928  L R,m (ig=9)           : 92   70000   9  1      84.48  0.75%
T929  L R,m (ig=10)          : 92   70000  10  1      92.30  0.79%
T930  L R,m (ig=12)          : 92   50000  12  1     105.83  1.05%
T931  L R,m (ig=18)          : 92   35000  18  1     148.03  0.88%
T932  L R,m (ig=25)          : 92   25000  25  1     199.64  0.70%
T933  L R,m (ig=36)          : 92   20000  36  1     279.09  0.74%
T952  T700 1st  2            : 92  250000   1  1      11.38  1.34%
T953  T700 1st  3            : 92  170000   1  1      16.92  0.55%
T954  T700 1st  4            : 92  140000   1  1      21.42  1.03%
T955  T700 1st  5            : 92  120000   1  1      24.89  1.11%
T956  T700 1st  6            : 92  105000   1  1      29.34  0.91%
T957  T700 1st  7            : 92   90000   1  1      32.63  0.89%
T958  T700 1st  8            : 92   84000   1  1      40.59  1.01%
T959  T700 1st  9            : 92   75000   1  1      53.37  1.04%
T960  T700 1st 10            : 92   70000   1  1      55.34  1.13%
T961  T700 1st 11            : 92   65000   1  1      47.44  1.16%
T962  T700 1st 12            : 92   60000   1  1      52.72  1.10%
T963  T700 1st 13            : 92   55000   1  1      54.90  0.93%
T964  T700 1st 14            : 92   50000   1  1      59.72  1.31%
